type,budget,actual,projected,future,notes
Pool Cleaning,9900.0,6631.0,8841.33,9900.0,None
Pool Maintenance,0.0,711.75,949.0,750.0,None
Cabana Cleaning,3000.0,2100.0,2800.0,3000.0,None
Maintenance Roof Drains,25000.0,39240.0,52320.0,37500.0,Roof repairs included
Pressure Washing & Gutters,15000.0,3500.0,4666.67,5000.0,None
Mulch,7500.0,0.0,0.0,7500.0,None
Rodent Control,4000.0,2260.0,3013.33,4000.0,None
Building Maintenance,5000.0,0.0,0.0,5000.0,None
Extermination,500.0,0.0,0.0,500.0,3% increase
Lawn Maintenance,40000.0,28025.95,37367.93,40000.0,None
Irrigation Maintenance,3500.0,6786.21,9048.28,7500.0,None
Pest Control Termite,500.0,0.0,0.0,500.0,None
Tree Maintenance,20000.0,17240.0,22986.67,20000.0,None
